rang_aufsteigend,empirischer_anteil_bis_hier,zaehler_id,monat,kundentyp,vertragsleistung_kw,vollaststunden,prognose_vls,residuum_vls,abs_residuum_vls,verbrauch_kwh,prognose_kwh,abweichung_kwh,ab_p95,ab_p97_5,ab_p99,ab_p99_5
1,0.0007158196134574087,ZL-00542,2024-12,Gewerbe,25,108.08,108.00593736057499,0.07406263942500857,0.07406263942500857,2702.0,2700.1484340143747,1.8515659856252569,False,False,False,False
2,0.0014316392269148174,ZL-00475,2024-11,Industrie,218,143.67889908256882,143.57721911608718,0.10167996648164035,0.10167996648164035,31322.0,31299.833767307005,22.166232692994527,False,False,False,False
3,0.0021474588403722263,ZL-00255,2024-12,Industrie,259,173.04247104247105,172.9201105096075,0.12236053286355286,0.12236053286355286,44818.0,44786.30862198834,31.691378011659253,False,False,False,False
4,0.002863278453829635,ZL-00396,2024-11,Gewerbe,69,97.18840579710144,97.31148073575307,-0.12307493865162655,0.12307493865162655,6706.0,6714.492170766962,-8.492170766961863,False,False,False,False
5,0.0035790980672870437,ZL-00555,2024-11,Kommunal,28,125.35714285714286,125.22480285445344,0.1323400026894177,0.1323400026894177,3510.0,3506.2944799246966,3.7055200753034114,False,False,False,False
6,0.004294917680744453,ZL-00167,2024-11,Gewerbe,256,222.7578125,222.90758192395063,-0.1497694239506302,0.1497694239506302,57026.0,57064.34097253136,-38.34097253136133,False,False,False,False
7,0.005010737294201861,ZL-00373,2024-12,Gewerbe,79,154.46835443037975,154.3077626619029,0.16059176847684853,0.16059176847684853,12203.0,12190.313250290328,12.686749709671858,False,False,False,False
8,0.00572655690765927,ZL-00314,2024-12,Gewerbe,47,108.65957446808513,108.82981331151086,-0.1702388434257358,0.1702388434257358,5107.0,5115.00122564101,-8.001225641010024,False,False,False,False
9,0.006442376521116679,ZL-00144,2024-11,Gewerbe,70,99.61428571428571,99.41177315508804,0.20251255919767175,0.20251255919767175,6973.0,6958.824120856163,14.175879143836937,False,False,False,False
10,0.0071581961345740875,ZL-00268,2024-12,Industrie,333,99.06006006006008,99.26893079577978,-0.2088707357196995,0.2088707357196995,32987.0,33056.55395499467,-69.55395499466977,False,False,False,False
11,0.007874015748031496,ZL-00604,2024-12,Kommunal,105,106.51428571428572,106.77026590890776,-0.25598019462204036,0.25598019462204036,11184.0,11210.877920435314,-26.87792043531408,False,False,False,False
12,0.008589835361488905,ZL-00340,2024-11,Industrie,227,196.80176211453744,197.0581605214365,-0.25639840689905213,0.25639840689905213,44674.0,44732.20243836608,-58.20243836608279,False,False,False,False
13,0.009305654974946313,ZL-00677,2024-12,Gewerbe,84,219.0952380952381,218.82170622767123,0.27353186756687364,0.27353186756687364,18404.0,18381.023323124384,22.97667687561625,False,False,False,False
14,0.010021474588403722,ZL-00141,2024-11,Gewerbe,50,95.82,95.54550447935867,0.27449552064132376,0.27449552064132376,4791.0,4777.275223967934,13.724776032066075,False,False,False,False
15,0.010737294201861132,ZL-00119,2024-12,Industrie,354,120.364406779661,120.6629799017728,-0.2985731221118044,0.2985731221118044,42609.0,42714.694885227575,-105.69488522757456,False,False,False,False
16,0.01145311381531854,ZL-00176,2024-11,Gewerbe,109,115.11009174311928,114.78278208576931,0.3273096573499714,0.3273096573499714,12547.0,12511.323247348855,35.67675265114485,False,False,False,False
17,0.012168933428775949,ZL-00251,2024-11,Industrie,283,86.69257950530036,87.05070311449107,-0.35812360919071295,0.35812360919071295,24534.0,24635.348981400974,-101.34898140097357,False,False,False,False
18,0.012884753042233358,ZL-00571,2024-11,Gewerbe,45,114.66666666666669,115.02938823324813,-0.36272156658144183,0.36272156658144183,5160.0,5176.322470496166,-16.322470496165806,False,False,False,False
19,0.013600572655690766,ZL-00288,2024-11,Gewerbe,89,109.0,109.47892007724903,-0.47892007724902896,0.47892007724902896,9701.0,9743.623886875164,-42.62388687516432,False,False,False,False
20,0.014316392269148175,ZL-00362,2024-11,Industrie,138,104.97826086956522,104.49738777205145,0.48087309751376495,0.48087309751376495,14487.0,14420.6395125431,66.36048745689914,False,False,False,False
21,0.015032211882605583,ZL-00153,2024-11,Gewerbe,43,213.3023255813953,212.8134026717171,0.48892290967819463,0.48892290967819463,9172.0,9150.976314883836,21.023685116164415,False,False,False,False
22,0.015748031496062992,ZL-00031,2024-12,Gewerbe,75,109.28,108.68890208785338,0.5910979121466227,0.5910979121466227,8196.0,8151.667656589003,44.332343410997055,False,False,False,False
23,0.0164638511095204,ZL-00199,2024-11,Gewerbe,20,98.7,98.07832470047153,0.6216752995284764,0.6216752995284764,1974.0,1961.5664940094305,12.433505990569529,False,False,False,False
24,0.01717967072297781,ZL-00451,2024-11,Gewerbe,43,157.32558139534885,157.94945780369306,-0.6238764083442163,0.6238764083442163,6765.0,6791.826685558802,-26.826685558801728,False,False,False,False
25,0.01789549033643522,ZL-00605,2024-12,Kommunal,63,237.7142857142857,238.33922152076838,-0.6249358064826822,0.6249358064826822,14976.0,15015.370955808408,-39.370955808408326,False,False,False,False
26,0.018611309949892626,ZL-00009,2024-12,Gewerbe,76,104.63157894736842,105.26146996560999,-0.6298910182415653,0.6298910182415653,7952.0,7999.871717386359,-47.871717386358796,False,False,False,False
