zaehler_id,monat,jahr,split,vollaststunden,verbrauch_kwh,vertragsleistung_kw,kundentyp,monat_idx,arbeitstage,feiertage_im_monat,heizgradtage,produktionsplan_index,wartung_aktiv,vormonat_vls,letzte_3_monate_vls,vorjahr_vls,anomalie,unmoeglich
ZL-00000,2024-01-01,2024,train,110.52702702702703,8179.0,74,Gewerbe,1,23,1,375,1.127,False,,,,False,False
ZL-00000,2024-02-01,2024,train,101.74324324324324,7529.0,74,Gewerbe,2,21,0,385,1.089,False,110.52702702702703,110.52702702702703,,False,False
ZL-00000,2024-03-01,2024,train,81.14864864864865,6005.0,74,Gewerbe,3,21,0,240,0.959,False,101.74324324324324,106.13513513513513,,False,False
ZL-00000,2024-04-01,2024,train,82.93243243243244,6137.0,74,Gewerbe,4,22,1,210,1.021,False,81.14864864864865,97.80630630630631,,False,False
ZL-00000,2024-05-01,2024,train,116.95945945945945,8655.0,74,Gewerbe,5,23,1,22,,False,82.93243243243244,88.60810810810811,,True,False
ZL-00000,2024-06-01,2024,train,92.14864864864865,6819.0,74,Gewerbe,6,20,0,20,1.079,False,116.95945945945945,93.68018018018017,,False,False
ZL-00000,2024-07-01,2024,train,90.28378378378379,6681.0,74,Gewerbe,7,23,0,12,0.977,False,92.14864864864865,97.34684684684684,,False,False
ZL-00000,2024-08-01,2024,train,84.86486486486487,6280.0,74,Gewerbe,8,22,0,0,0.911,False,90.28378378378379,99.79729729729729,,False,False
ZL-00000,2024-09-01,2024,train,67.60810810810811,5003.0,74,Gewerbe,9,21,0,67,0.931,False,84.86486486486487,89.09909909909909,,False,False
ZL-00000,2024-10-01,2024,train,70.29729729729729,5202.0,74,Gewerbe,10,23,1,162,0.843,False,67.60810810810811,80.91891891891892,,False,False
ZL-00000,2024-11-01,2024,train,85.83783783783784,6352.0,74,Gewerbe,11,21,1,268,0.936,False,70.29729729729729,74.25675675675676,,False,False
ZL-00000,2024-12-01,2024,train,75.17567567567568,5563.0,74,Gewerbe,12,22,2,335,0.938,False,85.83783783783784,74.58108108108108,,False,False
ZL-00000,2025-01-01,2025,test,120.95945945945945,8951.0,74,Gewerbe,1,23,1,408,1.061,False,75.17567567567568,77.1036036036036,110.52702702702703,True,False
