zaehler_id,kunde_id,kundentyp,vertragsleistung_kw,monat,monat_idx,arbeitstage,feiertage_im_monat,mittlere_temperatur_c,heiztage,produktionsplan_index,wartung_aktiv,vormonat_verbrauch_kwh,letzte_3_monate_durchschnitt_kwh,vorjahr_monat_verbrauch_kwh,verbrauch_kwh,jahr,abweichung_vormonat_prozent,abweichung_3m_prozent,stunden_im_monat,max_verbrauch_kwh,auslastung_prozent,verbrauch_ueber_vertragsleistung
ZL-00000,KD-221958,Gewerbe,74,2024-01-01,1,23,1,2.0,375,1.127,0,,,,8179.0,2024,,,744,55056,14.855783202557395,False
ZL-00000,KD-221958,Gewerbe,74,2024-02-01,2,21,0,1.6,385,1.089,0,8179.0,8179.0,,7529.0,2024,-7.947181807066879,-7.947181807066879,696,51504,14.618282075178627,False
ZL-00000,KD-221958,Gewerbe,74,2024-03-01,3,21,0,7.4,240,0.959,0,7529.0,7854.0,,6005.0,2024,-20.241731969717094,-23.542144130379423,744,55056,10.90707643126998,False
ZL-00000,KD-221958,Gewerbe,74,2024-04-01,4,22,1,8.6,210,1.021,0,6005.0,7237.666666666667,,6137.0,2024,2.1981681931723562,-15.207479390227057,720,53280,11.518393393393394,False
ZL-00000,KD-221958,Gewerbe,74,2024-05-01,5,23,1,16.1,22,,0,6137.0,6557.0,,8655.0,2024,41.02981912986801,31.9963397895379,744,55056,15.720357454228424,False
ZL-00000,KD-221958,Gewerbe,74,2024-06-01,6,20,0,16.2,20,1.079,0,8655.0,6932.333333333333,,6819.0,2024,-21.21317157712305,-1.6348511804587158,720,53280,12.798423423423424,False
ZL-00000,KD-221958,Gewerbe,74,2024-07-01,7,23,0,16.5,12,0.977,0,6819.0,7203.666666666667,,6681.0,2024,-2.023757149142103,-7.2555642959603945,744,55056,12.134917175239755,False
ZL-00000,KD-221958,Gewerbe,74,2024-08-01,8,22,0,18.5,0,0.911,0,6681.0,7385.0,,6280.0,2024,-6.002095494686424,-14.962762356127286,744,55056,11.406567858180763,False
ZL-00000,KD-221958,Gewerbe,74,2024-09-01,9,21,0,14.3,67,0.931,0,6280.0,6593.333333333333,,5003.0,2024,-20.3343949044586,-24.120323559150652,720,53280,9.390015015015015,False
ZL-00000,KD-221958,Gewerbe,74,2024-10-01,10,23,1,10.5,162,0.843,0,5003.0,5988.0,,5202.0,2024,3.977613431940835,-13.126252505010019,744,55056,9.448561464690497,False
ZL-00000,KD-221958,Gewerbe,74,2024-11-01,11,21,1,6.3,268,0.936,0,5202.0,5495.0,,6352.0,2024,22.10688196847366,15.595996360327572,720,53280,11.921921921921921,False
